logM logR
-1.776964882693736 -1.3064015203062136
-1.7861885629066048 -1.3085271191193335
-1.7954043298167777 -1.3106593470561287
-1.8046128156269567 -1.312797480236397
-1.8138176706203955 -1.3149320060957974
-1.823164928777952 -1.31680461920579
-1.8326815173633735 -1.3183801399502422
-1.8403959444024607 -1.3194620615684427
-1.8413658976639542 -1.319587299453417
-1.8423370414136333 -1.319710419759423
-1.852107158944507 -1.3208371016651448
-1.8619740539685712 -1.321790664884624
-1.871923550218161 -1.3225954019925201
-1.8819451176338762 -1.3232694230987117
-1.892031942860108 -1.3238244517325106
-1.9021769001079558 -1.3242727749089256
-1.9123720560659347 -1.3246280862636246
-1.915439173563646 -1.3247186495528498
-1.9226112693874506 -1.324901060227948
-1.9328904484877842 -1.3250988584707504
-1.943202695176186 -1.3252333899422306
-1.9535460317392406 -1.3253082859001457
-1.9639186526854253 -1.3253266623353541
-1.9722352630637678 -1.3253052067116824
-1.974317011922459 -1.3252947945793665
-1.984740040199071 -1.325214610491282
-1.9951847648934067 -1.3250913773407855
-2.0056500036303655 -1.324927254077654
-2.0161339531673117 -1.3247254635193775
-2.0266369132352073 -1.3244856681060335
-2.0371555485303205 -1.324213653405086
-2.0476892324158134 -1.3239108131736257
-2.050851862220467 -1.3238146460660254
-2.058234729058169 -1.3235827229664265
-2.0687894603645405 -1.3232340571642152
-2.0793527582289517 -1.3228660780168189
-2.0814662947015323 -1.3227904493468652
-2.089922306322349 -1.3224828911270727
-2.1004969800436593 -1.3220865734512848
-2.1068443329191435 -1.3218423792292058
-2.1079023662306313 -1.321801287078259
-2.1110769372506293 -1.321676962975166
-2.1216616205642556 -1.3212552168817706
-2.1290726225511185 -1.3209547088606168
-2.1322494876722318 -1.320824105249705
-2.142842685144737 -1.3203800945907582
-2.149199796820028 -1.3201098645443663
-2.153438074049888 -1.3199286328865523
-2.164034374760536 -1.31947208111902
-2.1672135896379707 -1.3193339007623421
-2.171452676514827 -1.319148933708864
-2.174632023845245 -1.31900979318217
-2.1831087477827587 -1.3186399294701268
-2.18522752015464 -1.3185478423800625
-2.1958200411595743 -1.3180878777985225
-2.1979383444195464 -1.317995855745463
-2.20640989410599 -1.3176294070270416
-2.2117032135449746 -1.317401832958532
-2.216995653427573 -1.3171750405225149
-2.22440359532412 -1.3168588812738
-2.2275777136056236 -1.3167242064040268
-2.229693478905585 -1.3166348286903966
-2.232866720430018 -1.3165012587320821
